dateiname;Anzahl Züge;TimeOrder;Deadlock;Postion;Bahnhofslänge;Summe;Anzahl Verbünde in;Anzahl Verbünde out;Länge Verbünde in;Länge Verbünde out
track_0_181.csv;0.48519275180062693;-0.3256747511192786;-0.39074043971390765;1.0978949167889316;0.24905133006984026;-0.10313283031739039;0.1501910970757729;0.19549887099395727;-0.7281647966259956;-0.6433475465944638
track_0_1810.csv;-0.35094162742023227;-0.3256747511192786;-0.39074043971390765;-0.8536535082791856;-0.9115349534418578;-0.585898801263978;-1.9890525290991499;0.19549887099395727;-2.159568398507931;0.8248110983788095
track_0_1811.csv;0.48519275180062693;-0.3256747511192786;3.158425033029394;1.0978949167889316;0.24905133006984026;0.3291510137180313;0.1501910970757729;0.19549887099395727;0.7032388052559394;0.09073177589217288
track_0_1812.csv;-0.35094162742023227;-0.3256747511192786;-0.39074043971390765;-0.8536535082791856;-0.9115349534418578;-0.585898801263978;0.1501910970757729;0.19549887099395727;0.7032388052559394;-0.1539613316033728
track_0_1813.csv;-2.0232103858619506;-0.3256747511192786;-0.39074043971390765;-0.8536535082791856;-0.9115349534418578;-0.585898801263978;-1.9890525290991499;-2.0360492174248717;-2.159568398507931;-2.111506191567737
track_0_1814.csv;-2.0232103858619506;-0.3256747511192786;-0.39074043971390765;-0.8536535082791856;-0.9115349534418578;-0.585898801263978;-1.9890525290991499;-2.0360492174248717;-2.159568398507931;-2.111506191567737
track_0_1815.csv;1.321327131021486;-0.012660086408479352;-0.39074043971390765;1.0978949167889316;1.4096376135815383;0.2634752369598151;0.1501910970757729;0.19549887099395727;0.7032388052559394;0.23754764038950033
track_0_1816.csv;0.48519275180062693;0.06559357976922046;-0.39074043971390765;-0.8536535082791856;0.24905133006984026;-0.14724342664753545;0.1501910970757729;0.19549887099395727;0.7032388052559394;0.09073177589217288
track_0_1817.csv;0.48519275180062693;-0.3256747511192786;-0.39074043971390765;1.0978949167889316;0.24905133006984026;-0.10313283031739039;0.1501910970757729;0.19549887099395727;-0.012462995685028146;0.8248110983788095
track_0_1818.csv;1.321327131021486;-0.3256747511192786;0.792314717867193;1.0978949167889316;1.4096376135815383;0.11938062228134139;0.1501910970757729;0.19549887099395727;0.7032388052559394;0.23754764038950033
track_0_1819.csv;0.48519275180062693;0.06559357976922046;-0.39074043971390765;-0.8536535082791856;0.24905133006984026;-0.14724342664753545;0.1501910970757729;0.19549887099395727;0.7032388052559394;0.09073177589217288
track_0_182.csv;-0.35094162742023227;-0.3256747511192786;-0.39074043971390765;-0.8536535082791856;0.24905133006984026;-0.50747996334372;0.1501910970757729;0.19549887099395727;0.7032388052559394;0.8248110983788095
track_0_1820.csv;-0.35094162742023227;-0.3256747511192786;-0.39074043971390765;1.0978949167889316;-0.9115349534418578;-0.18155166823764826;0.1501910970757729;0.19549887099395727;-0.2510302626653508;0.8248110983788095
track_0_1821.csv;0.48519275180062693;-0.3256747511192786;-0.39074043971390765;1.0978949167889316;0.24905133006984026;-0.10313283031739039;0.1501910970757729;0.19549887099395727;0.7032388052559394;0.09073177589217288
track_0_1822.csv;-0.35094162742023227;-0.3256747511192786;-0.39074043971390765;1.0978949167889316;-0.9115349534418578;-0.18155166823764826;0.1501910970757729;0.19549887099395727;0.7032388052559394;0.8248110983788095
track_0_1823.csv;2.1574615102423453;-0.3256747511192786;-0.39074043971390765;1.0978949167889316;2.5702238970932365;0.053704845523125426;2.2894347232506957;2.4270469594127864;0.22610427129529445;0.8248110983788095
track_0_1824.csv;-0.35094162742023227;-0.3256747511192786;-0.39074043971390765;1.0978949167889316;-0.9115349534418578;-0.18155166823764826;0.1501910970757729;0.19549887099395727;-0.2510302626653508;0.8248110983788095
track_0_1825.csv;0.48519275180062693;-0.3256747511192786;-0.39074043971390765;-0.8536535082791856;0.24905133006984026;-0.50747996334372;0.1501910970757729;0.19549887099395727;-0.012462995685028146;0.8248110983788095
track_0_1826.csv;0.48519275180062693;0.6133692430131193;-0.39074043971390765;1.0978949167889316;0.24905133006984026;0.7614348577534529;0.1501910970757729;0.19549887099395727;-0.012462995685028146;0.09073177589217288
track_0_1827.csv;-0.35094162742023227;-0.3256747511192786;-0.39074043971390765;-0.8536535082791856;-0.9115349534418578;-0.585898801263978;0.1501910970757729;0.19549887099395727;-0.2510302626653508;0.8248110983788095
track_0_1828.csv;0.48519275180062693;-0.3256747511192786;1.9753698754482938;1.0978949167889316;0.24905133006984026;0.18505639903955728;0.1501910970757729;0.19549887099395727;-0.012462995685028146;0.09073177589217288
track_0_1829.csv;-0.35094162742023227;-0.3256747511192786;-0.39074043971390765;-0.8536535082791856;-0.9115349534418578;-0.585898801263978;0.1501910970757729;0.19549887099395727;0.7032388052559394;-0.1539613316033728
track_0_183.csv;0.48519275180062693;-0.3256747511192786;-0.39074043971390765;1.0978949167889316;1.4096376135815383;-0.024713992397132525;0.1501910970757729;0.19549887099395727;0.7032388052559394;0.8248110983788095
track_0_1830.csv;0.48519275180062693;-0.3256747511192786;-0.39074043971390765;1.0978949167889316;0.24905133006984026;-0.10313283031739039;0.1501910970757729;0.19549887099395727;-0.012462995685028146;0.8248110983788095
track_0_1831.csv;0.48519275180062693;1.5524132371455173;-0.39074043971390765;1.0978949167889316;0.24905133006984026;1.6260025458242962;0.1501910970757729;0.19549887099395727;0.7032388052559394;0.09073177589217288
track_0_1832.csv;-0.35094162742023227;-0.3256747511192786;-0.39074043971390765;-0.8536535082791856;-0.9115349534418578;-0.585898801263978;0.1501910970757729;0.19549887099395727;0.7032388052559394;-0.1539613316033728
track_0_1833.csv;-0.35094162742023227;0.6133692430131193;-0.39074043971390765;1.0978949167889316;-0.9115349534418578;0.6830160198331949;0.1501910970757729;0.19549887099395727;0.7032388052559394;-0.1539613316033728
track_0_1834.csv;-1.1870760066410915;-0.3256747511192786;-0.39074043971390765;-0.8536535082791856;-0.9115349534418578;-0.585898801263978;0.1501910970757729;-2.0360492174248717;0.7032388052559394;-2.111506191567737
track_0_1835.csv;-0.35094162742023227;-0.3256747511192786;-0.39074043971390765;-0.8536535082791856;-0.9115349534418578;-0.585898801263978;0.1501910970757729;0.19549887099395727;-0.2510302626653508;0.8248110983788095
