dateiname;Bahnhof;Anzahl Züge;TimeOrder;Deadlock;Postion;Bahnhofslänge
track_35_2215;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2216;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2265;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2274;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2275;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2324;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2333;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2334;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2383;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2392;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2393;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2442;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2451;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2452;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2501;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2510;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2511;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2560;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2569;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2570;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2619;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2628;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2629;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2678;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_268;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2687;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2688;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_269;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2737;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2746;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2747;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2796;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2805;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2806;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2855;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2864;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
track_35_2865;AR_Stop_2;2;-0.32932163357722827;-0.420686985605742;-1.0755461944012799;-0.38607411714990886
track_35_2914;AR_Stop_2;3;-0.32932163357722827;-0.420686985605742;0.7762758118664578;-0.38607411714990886
