dateiname;Bahnhof;TimeOrder;Deadlock;Postion;Bahnhofslänge
track_0_1176;;12;0;1;4
track_0_1177;;0;0;1;3
track_0_1178;;0;2;1;4
track_0_1179;;15;0;1;3
track_0_118;;78;0;1;5
track_0_1180;;0;0;1;4
track_0_1181;;24;0;1;4
track_0_1182;;15;0;1;3
track_0_1183;;12;0;1;3
track_0_1184;;5;0;0;2
track_0_1185;;0;0;1;3
track_0_1186;;0;0;1;4
track_0_1187;;0;0;0;3
track_0_1188;;0;0;0;2
track_0_1189;;0;0;1;3
track_0_119;;0;0;0;3
track_0_1190;;4;2;0;3
track_0_1191;;0;0;1;4
track_0_1192;;0;0;1;5
track_0_1193;;0;0;0;2
track_0_1194;;0;1;0;4
track_0_1195;;0;0;0;3
track_0_1196;;0;0;1;4
track_0_1197;;0;3;1;4
track_0_1198;;78;0;1;5
track_0_1199;;0;2;1;5
track_0_12;;20;1;2;9
track_0_120;;20;1;2;9
track_0_1200;;0;0;0;4
track_0_1201;;0;0;1;3
track_0_1202;;7;2;0;5
track_0_1203;;0;0;1;4
track_0_1204;;12;3;1;4
track_0_1205;;0;0;0;2
track_0_1206;;15;0;1;3
track_0_1207;;0;0;1;3
track_0_1208;;20;0;1;4
track_0_1209;;0;0;0;1
track_0_121;;12;1;2;7
track_0_1210;;0;0;0;1
track_0_1211;;0;0;0;2
track_0_1212;;0;0;0;2
track_0_1213;;0;1;0;4
track_0_1214;;0;0;0;3
track_0_1215;;0;0;1;4
track_0_1216;;14;3;1;4
track_0_1217;;6;0;0;2
track_0_1218;;15;0;1;3
track_0_1219;;0;0;0;2
track_0_122;;78;0;2;5
track_0_1220;;0;0;0;2
track_0_1221;;0;0;0;4
track_0_1222;;0;0;0;2
track_0_1223;;0;0;0;2
track_0_1224;;12;3;2;5
track_0_1225;;0;0;0;3
track_0_1226;;0;3;1;4
track_0_1227;;15;0;1;3
track_0_1228;;0;0;0;1
track_0_1229;;0;0;0;1
track_0_123;;89;0;0;4
track_0_1230;;24;0;1;5
track_0_1231;;15;0;1;4
track_0_1232;;0;0;0;4
track_0_1233;;0;3;1;5
track_0_1234;;15;0;1;4
track_0_1235;;0;0;0;3
track_0_1236;;18;0;0;4
track_0_1237;;0;0;1;3
track_0_1238;;18;0;2;6
track_0_1239;;0;0;0;3
track_0_124;;0;0;1;5
track_0_1240;;0;0;1;4
track_0_1241;;12;0;1;4
track_0_1242;;0;0;1;3
track_0_1243;;0;2;1;4
track_0_1244;;15;0;1;3
track_0_1245;;0;0;1;4
track_0_1246;;24;0;1;4
track_0_1247;;15;0;1;3
track_0_1248;;12;0;1;3
track_0_1249;;5;0;0;2
track_0_125;;78;0;0;4
track_0_1250;;0;0;1;3
track_0_1251;;0;0;1;4
track_0_1252;;0;0;0;3
track_0_1253;;0;0;0;2
track_0_1254;;0;0;1;3
track_0_1255;;4;2;0;3
track_0_1256;;0;0;1;4
track_0_1257;;0;0;1;5
track_0_1258;;0;0;0;2
track_0_1259;;0;1;0;4
track_0_126;;0;1;0;4
track_0_1260;;0;0;0;3
track_0_1261;;0;0;1;4
track_0_1262;;0;3;1;4
track_0_1263;;78;0;1;5
track_0_1264;;0;2;1;5
track_0_1265;;0;0;0;4
track_0_1266;;0;0;1;3
track_0_1267;;7;2;0;5
track_0_1268;;0;0;1;4
track_0_1269;;12;3;1;4
track_0_127;;0;0;0;3
track_0_1270;;0;0;0;2
track_0_1271;;15;0;1;3
track_0_1272;;0;0;1;3
track_0_1273;;20;0;1;4
track_0_1274;;0;0;0;1
track_0_1275;;0;0;0;1
track_0_1276;;0;0;0;2
track_0_1277;;0;0;0;2
track_0_1278;;0;1;0;4
track_0_1279;;0;0;0;3
track_0_128;;0;0;0;4
track_0_1280;;0;0;1;4
track_0_1281;;14;3;1;4
track_0_1282;;6;0;0;2
track_0_1283;;15;0;1;3
track_0_1284;;0;0;0;2
track_0_1285;;0;0;0;2
track_0_1286;;0;0;0;4
track_0_1287;;0;0;0;2
track_0_1288;;0;0;0;2
track_0_1289;;12;3;2;5
track_0_129;;14;3;1;4
track_0_1290;;0;0;0;3
track_0_1291;;0;3;1;4
track_0_1292;;15;0;1;3
track_0_1293;;0;0;0;1
track_0_1294;;0;0;0;1
track_0_1295;;24;0;1;5
track_0_1296;;15;0;1;4
track_0_1297;;0;0;0;4
track_0_1298;;0;3;1;5
track_0_1299;;15;0;1;4
track_0_13;;12;1;2;7
track_0_130;;0;0;1;3
track_0_1300;;0;0;0;3
track_0_1301;;18;0;0;4
track_0_1302;;0;0;1;3
track_0_1303;;18;0;2;6
track_0_1304;;0;0;0;3
track_0_1305;;0;0;1;4
track_0_1306;;12;0;1;4
track_0_1307;;0;0;1;3
track_0_1308;;0;2;1;4
track_0_1309;;15;0;1;3
track_0_131;;0;2;1;4
track_0_1310;;0;0;1;4
track_0_1311;;24;0;1;4
track_0_1312;;15;0;1;3
track_0_1313;;12;0;1;3
track_0_1314;;5;0;0;2
track_0_1315;;0;0;1;3
track_0_1316;;0;0;1;4
track_0_1317;;0;0;0;3
track_0_1318;;0;0;0;2
track_0_1319;;0;0;1;3
track_0_132;;0;2;0;3
track_0_1320;;4;2;0;3
track_0_1321;;0;0;1;4
track_0_1322;;0;0;1;5
track_0_1323;;0;0;0;2
track_0_1324;;0;1;0;4
track_0_1325;;0;0;0;3
track_0_1326;;0;0;1;4
track_0_1327;;0;3;1;4
track_0_1328;;78;0;1;5
track_0_1329;;0;2;1;5
track_0_133;;29;0;0;2
track_0_1330;;0;0;0;4
track_0_1331;;0;0;1;3
track_0_1332;;7;2;0;5
track_0_1333;;0;0;1;4
track_0_1334;;12;3;1;4
track_0_1335;;0;0;0;2
track_0_1336;;15;0;1;3
track_0_1337;;0;0;1;3
track_0_1338;;20;0;1;4
track_0_1339;;0;0;0;1
track_0_134;;0;2;1;5
track_0_1340;;0;0;0;1
track_0_1341;;0;0;0;2
track_0_1342;;0;0;0;2
track_0_1343;;0;1;0;4
track_0_1344;;0;0;0;3
track_0_1345;;0;0;1;4
track_0_1346;;14;3;1;4
track_0_1347;;6;0;0;2
track_0_1348;;15;0;1;3
track_0_1349;;0;0;0;2
track_0_135;;0;0;0;4
track_0_1350;;0;0;0;2
track_0_1351;;0;0;0;4
track_0_1352;;0;0;0;2
track_0_1353;;0;0;0;2
track_0_1354;;12;3;2;5
track_0_1355;;0;0;0;3
track_0_1356;;0;3;1;4
track_0_1357;;15;0;1;3
track_0_1358;;0;0;0;1
track_0_1359;;0;0;0;1
track_0_136;;0;0;1;5
track_0_1360;;24;0;1;5
track_0_1361;;15;0;1;4
track_0_1362;;0;0;0;4
track_0_1363;;0;3;1;5
track_0_1364;;15;0;1;4
track_0_1365;;0;0;0;3
track_0_1366;;18;0;0;4
track_0_1367;;0;0;1;3
track_0_1368;;18;0;2;6
track_0_1369;;0;0;0;3
track_0_137;;0;0;0;2
track_0_1370;;0;0;1;4
track_0_1371;;12;0;1;4
track_0_1372;;0;0;1;3
track_0_1373;;0;2;1;4
track_0_1374;;15;0;1;3
track_0_1375;;0;0;1;4
track_0_1376;;24;0;1;4
track_0_1377;;15;0;1;3
track_0_1378;;12;0;1;3
track_0_1379;;5;0;0;2
track_0_138;;0;0;1;4
track_0_1380;;0;0;1;3
track_0_1381;;0;0;1;4
track_0_1382;;0;0;0;3
track_0_1383;;0;0;0;2
track_0_1384;;0;0;1;3
track_0_1385;;4;2;0;3
track_0_1386;;0;0;1;4
track_0_1387;;0;0;1;5
track_0_1388;;0;0;0;2
track_0_1389;;0;1;0;4
track_0_139;;0;3;1;5
track_0_1390;;0;0;0;3
track_0_1391;;0;0;1;4
track_0_1392;;0;3;1;4
track_0_1393;;78;0;1;5
track_0_1394;;0;2;1;5
track_0_1395;;0;0;0;4
track_0_1396;;0;0;1;3
track_0_1397;;7;2;0;5
track_0_1398;;0;0;1;4
track_0_1399;;12;3;1;4
track_0_14;;78;0;2;5
track_0_140;;120;0;1;5
track_0_1400;;0;0;0;2
track_0_1401;;15;0;1;3
track_0_1402;;0;0;1;3
track_0_1403;;20;0;1;4
track_0_1404;;0;0;0;1
track_0_1405;;0;0;0;1
track_0_1406;;0;0;0;2
track_0_1407;;0;0;0;2
track_0_1408;;0;1;0;4
track_0_1409;;0;0;0;3
track_0_141;;0;0;1;4
track_0_1410;;0;0;1;4
track_0_1411;;14;3;1;4
track_0_1412;;6;0;0;2
track_0_1413;;15;0;1;3
track_0_1414;;0;0;0;2
track_0_1415;;0;0;0;2
track_0_1416;;0;0;0;4
track_0_1417;;0;0;0;2
track_0_1418;;0;0;0;2
track_0_1419;;12;3;2;5
track_0_142;;78;0;0;4
track_0_1420;;0;0;0;3
track_0_1421;;0;3;1;4
track_0_1422;;15;0;1;3
track_0_1423;;0;0;0;1
track_0_1424;;0;0;0;1
track_0_1425;;24;0;1;5
track_0_1426;;15;0;1;4
track_0_1427;;0;0;0;4
track_0_1428;;0;3;1;5
track_0_1429;;15;0;1;4
track_0_143;;0;0;0;4
track_0_1430;;0;0;0;3
track_0_1431;;18;0;0;4
track_0_1432;;0;0;1;3
track_0_1433;;18;0;2;6
track_0_1434;;0;0;0;3
track_0_1435;;0;0;1;4
track_0_1436;;12;0;1;4
track_0_1437;;0;0;1;3
track_0_1438;;0;2;1;4
track_0_1439;;15;0;1;3
track_0_144;;18;0;0;4
track_0_1440;;0;0;1;4
track_0_1441;;24;0;1;4
track_0_1442;;15;0;1;3
track_0_1443;;12;0;1;3
track_0_1444;;5;0;0;2
track_0_1445;;0;0;1;3
track_0_1446;;0;0;1;4
track_0_1447;;0;0;0;3
track_0_1448;;0;0;0;2
track_0_1449;;0;0;1;3
track_0_145;;0;0;1;3
track_0_1450;;4;2;0;3
track_0_1451;;0;0;1;4
track_0_1452;;0;0;1;5
track_0_1453;;0;0;0;2
track_0_1454;;0;1;0;4
track_0_1455;;0;0;0;3
track_0_1456;;0;0;1;4
track_0_1457;;0;3;1;4
track_0_1458;;78;0;1;5
track_0_1459;;0;2;1;5
track_0_146;;0;1;1;5
track_0_1460;;0;0;0;4
track_0_1461;;0;0;1;3
track_0_1462;;7;2;0;5
track_0_1463;;0;0;1;4
track_0_1464;;12;3;1;4
track_0_1465;;0;0;0;2
track_0_1466;;15;0;1;3
track_0_1467;;0;0;1;3
track_0_1468;;20;0;1;4
track_0_1469;;0;0;0;1
track_0_147;;26;0;0;4
track_0_1470;;0;0;0;1
track_0_1471;;0;0;0;2
track_0_1472;;0;0;0;2
track_0_1473;;0;1;0;4
track_0_1474;;0;0;0;3
track_0_1475;;0;0;1;4
track_0_1476;;14;3;1;4
track_0_1477;;6;0;0;2
track_0_1478;;15;0;1;3
track_0_1479;;0;0;0;2
track_0_148;;0;0;0;3
track_0_1480;;0;0;0;2
track_0_1481;;0;0;0;4
track_0_1482;;0;0;0;2
track_0_1483;;0;0;0;2
track_0_1484;;12;3;2;5
track_0_1485;;0;0;0;3
track_0_1486;;0;3;1;4
track_0_1487;;15;0;1;3
track_0_1488;;0;0;0;1
track_0_1489;;0;0;0;1
track_0_149;;0;0;0;2
track_0_1490;;24;0;1;5
track_0_1491;;15;0;1;4
track_0_1492;;0;0;0;4
track_0_1493;;0;3;1;5
track_0_1494;;15;0;1;4
track_0_1495;;0;0;0;3
track_0_1496;;18;0;0;4
track_0_1497;;0;0;1;3
track_0_1498;;18;0;2;6
track_0_1499;;0;0;0;3
track_0_15;;89;0;0;4
track_0_150;;0;0;0;4
track_0_1500;;0;0;1;4
track_0_1501;;12;0;1;4
track_0_1502;;0;0;1;3
track_0_1503;;0;2;1;4
track_0_1504;;15;0;1;3
track_0_1505;;0;0;1;4
track_0_1506;;24;0;1;4
track_0_1507;;15;0;1;3
track_0_1508;;12;0;1;3
track_0_1509;;5;0;0;2
track_0_151;;6;0;0;6
track_0_1510;;0;0;1;3
track_0_1511;;0;0;1;4
track_0_1512;;0;0;0;3
track_0_1513;;0;0;0;2
track_0_1514;;0;0;1;3
track_0_1515;;4;2;0;3
track_0_1516;;0;0;1;4
track_0_1517;;0;0;1;5
track_0_1518;;0;0;0;2
track_0_1519;;0;1;0;4
track_0_152;;12;3;2;5
track_0_1520;;0;0;0;3
track_0_1521;;0;0;1;4
track_0_1522;;0;3;1;4
track_0_1523;;78;0;1;5
track_0_1524;;0;2;1;5
track_0_1525;;0;0;0;4
track_0_1526;;0;0;1;3
track_0_1527;;7;2;0;5
track_0_1528;;0;0;1;4
track_0_1529;;12;3;1;4
track_0_153;;0;0;0;4
track_0_1530;;0;0;0;2
track_0_1531;;15;0;1;3
track_0_1532;;0;0;1;3
track_0_1533;;20;0;1;4
track_0_1534;;0;0;0;1
track_0_1535;;0;0;0;1
track_0_1536;;0;0;0;2
track_0_1537;;0;0;0;2
track_0_1538;;0;1;0;4
track_0_1539;;0;0;0;3
track_0_154;;0;0;0;4
track_0_1540;;0;0;1;4
track_0_1541;;14;3;1;4
track_0_1542;;6;0;0;2
track_0_1543;;15;0;1;3
track_0_1544;;0;0;0;2
track_0_1545;;0;0;0;2
track_0_1546;;0;0;0;4
track_0_1547;;0;0;0;2
track_0_1548;;0;0;0;2
track_0_1549;;12;3;2;5
track_0_155;;0;0;1;3
track_0_1550;;0;0;0;3
track_0_1551;;0;3;1;4
track_0_1552;;15;0;1;3
track_0_1553;;0;0;0;1
track_0_1554;;0;0;0;1
track_0_1555;;24;0;1;5
track_0_1556;;15;0;1;4
track_0_1557;;0;0;0;4
track_0_1558;;0;3;1;5
track_0_1559;;15;0;1;4
track_0_156;;7;2;1;5
track_0_1560;;0;0;0;3
track_0_1561;;18;0;0;4
track_0_1562;;0;0;1;3
track_0_1563;;18;0;2;6
track_0_1564;;0;0;0;3
track_0_1565;;0;0;1;4
track_0_1566;;12;0;1;4
track_0_1567;;0;0;1;3
track_0_1568;;0;2;1;4
track_0_1569;;15;0;1;3
track_0_157;;26;0;1;5
track_0_1570;;0;0;1;4
track_0_1571;;24;0;1;4
track_0_1572;;15;0;1;3
track_0_1573;;12;0;1;3
track_0_1574;;5;0;0;2
track_0_1575;;0;0;1;3
track_0_1576;;0;0;1;4
track_0_1577;;0;0;0;3
track_0_1578;;0;0;0;2
track_0_1579;;0;0;1;3
track_0_158;;0;3;1;4
track_0_1580;;4;2;0;3
track_0_1581;;0;0;1;4
track_0_1582;;0;0;1;5
track_0_1583;;0;0;0;2
track_0_1584;;0;1;0;4
track_0_1585;;0;0;0;3
track_0_1586;;0;0;1;4
track_0_1587;;0;3;1;4
track_0_1588;;78;0;1;5
track_0_1589;;0;2;1;5
track_0_159;;0;0;0;1
track_0_1590;;0;0;0;4
track_0_1591;;0;0;1;3
track_0_1592;;7;2;0;5
track_0_1593;;0;0;1;4
track_0_1594;;12;3;1;4
track_0_1595;;0;0;0;2
track_0_1596;;15;0;1;3
track_0_1597;;0;0;1;3
track_0_1598;;20;0;1;4
track_0_1599;;0;0;0;1
track_0_16;;0;0;1;5
track_0_160;;0;0;0;2
track_0_1600;;0;0;0;1
track_0_1601;;0;0;0;2
track_0_1602;;0;0;0;2
track_0_1603;;0;1;0;4
track_0_1604;;0;0;0;3
track_0_1605;;0;0;1;4
track_0_1606;;14;3;1;4
track_0_1607;;6;0;0;2
track_0_1608;;15;0;1;3
track_0_1609;;0;0;0;2
track_0_161;;0;0;0;1
track_0_1610;;0;0;0;2
track_0_1611;;0;0;0;4
track_0_1612;;0;0;0;2
track_0_1613;;0;0;0;2
track_0_1614;;12;3;2;5
track_0_1615;;0;0;0;3
track_0_1616;;0;3;1;4
track_0_1617;;15;0;1;3
track_0_1618;;0;0;0;1
track_0_1619;;0;0;0;1
track_0_162;;15;0;1;5
track_0_1620;;24;0;1;5
track_0_1621;;15;0;1;4
track_0_1622;;0;0;0;4
track_0_1623;;0;3;1;5
track_0_1624;;15;0;1;4
track_0_1625;;0;0;0;3
track_0_1626;;18;0;0;4
track_0_1627;;0;0;1;3
track_0_1628;;18;0;2;6
track_0_1629;;0;0;0;3
track_0_163;;12;1;2;7
track_0_1630;;0;0;1;4
track_0_1631;;12;0;1;4
track_0_1632;;0;0;1;3
track_0_1633;;0;2;1;4
track_0_1634;;15;0;1;3
track_0_1635;;0;0;1;4
track_0_1636;;24;0;1;4
track_0_1637;;15;0;1;3
track_0_1638;;12;0;1;3
track_0_1639;;5;0;0;2
track_0_164;;12;0;1;3
track_0_1640;;0;0;1;3
track_0_1641;;0;0;1;4
track_0_1642;;0;0;0;3
track_0_1643;;0;0;0;2
track_0_1644;;0;0;1;3
track_0_1645;;4;2;0;3
track_0_1646;;0;0;1;4
track_0_1647;;0;0;1;5
track_0_1648;;0;0;0;2
track_0_1649;;0;1;0;4
track_0_165;;0;0;0;1
track_0_1650;;0;0;0;3
track_0_1651;;0;0;1;4
track_0_1652;;0;3;1;4
track_0_1653;;78;0;1;5
track_0_1654;;0;2;1;5
track_0_1655;;0;0;0;4
track_0_1656;;0;0;1;3
track_0_1657;;7;2;0;5
track_0_1658;;0;0;1;4
track_0_1659;;12;3;1;4
track_0_166;;78;0;2;5
track_0_1660;;0;0;0;2
track_0_1661;;15;0;1;3
track_0_1662;;0;0;1;3
track_0_1663;;20;0;1;4
track_0_1664;;0;0;0;1
track_0_1665;;0;0;0;1
track_0_1666;;0;0;0;2
track_0_1667;;0;0;0;2
track_0_1668;;0;1;0;4
track_0_1669;;0;0;0;3
track_0_167;;12;2;2;8
track_0_1670;;0;0;1;4
track_0_1671;;14;3;1;4
track_0_1672;;6;0;0;2
track_0_1673;;15;0;1;3
track_0_1674;;0;0;0;2
track_0_1675;;0;0;0;2
track_0_1676;;0;0;0;4
track_0_1677;;0;0;0;2
track_0_1678;;0;0;0;2
track_0_1679;;12;3;2;5
track_0_168;;0;0;1;4
track_0_1680;;0;0;0;3
track_0_1681;;0;3;1;4
track_0_1682;;15;0;1;3
track_0_1683;;0;0;0;1
track_0_1684;;0;0;0;1
track_0_1685;;24;0;1;5
track_0_1686;;15;0;1;4
track_0_1687;;0;0;0;4
track_0_1688;;0;3;1;5
track_0_1689;;15;0;1;4
track_0_169;;12;3;1;4
track_0_1690;;0;0;0;3
track_0_1691;;18;0;0;4
track_0_1692;;0;0;1;3
track_0_1693;;18;0;2;6
track_0_1694;;0;0;0;3
track_0_1695;;0;0;1;4
track_0_1696;;12;0;1;4
track_0_1697;;0;0;1;3
track_0_1698;;0;2;1;4
track_0_1699;;15;0;1;3
track_0_17;;78;0;0;4
track_0_170;;26;0;0;3
track_0_1700;;0;0;1;4
track_0_1701;;24;0;1;4
track_0_1702;;15;0;1;3
track_0_1703;;12;0;1;3
track_0_1704;;5;0;0;2
track_0_1705;;0;0;1;3
track_0_1706;;0;0;1;4
track_0_1707;;0;0;0;3
track_0_1708;;0;0;0;2
track_0_1709;;0;0;1;3
track_0_171;;24;0;1;5
track_0_1710;;4;2;0;3
track_0_1711;;0;0;1;4
track_0_1712;;0;0;1;5
track_0_1713;;0;0;0;2
track_0_1714;;0;1;0;4
track_0_1715;;0;0;0;3
track_0_1716;;0;0;1;4
track_0_1717;;0;3;1;4
track_0_1718;;78;0;1;5
track_0_1719;;0;2;1;5
track_0_172;;5;0;1;4
track_0_1720;;0;0;0;4
track_0_1721;;0;0;1;3
track_0_1722;;7;2;0;5
track_0_1723;;0;0;1;4
track_0_1724;;12;3;1;4
track_0_1725;;0;0;0;2
track_0_1726;;15;0;1;3
track_0_1727;;0;0;1;3
track_0_1728;;20;0;1;4
track_0_1729;;0;0;0;1
track_0_173;;0;0;0;4
track_0_1730;;0;0;0;1
track_0_1731;;0;0;0;2
track_0_1732;;0;0;0;2
track_0_1733;;0;1;0;4
track_0_1734;;0;0;0;3
track_0_1735;;0;0;1;4
track_0_1736;;14;3;1;4
track_0_1737;;6;0;0;2
track_0_1738;;15;0;1;3
track_0_1739;;0;0;0;2
track_0_174;;0;3;1;4
track_0_1740;;0;0;0;2
track_0_1741;;0;0;0;4
track_0_1742;;0;0;0;2
track_0_1743;;0;0;0;2
track_0_1744;;12;3;2;5
track_0_1745;;0;0;0;3
track_0_1746;;0;3;1;4
track_0_1747;;15;0;1;3
track_0_1748;;0;0;0;1
track_0_1749;;0;0;0;1
track_0_175;;78;0;1;5
track_0_1750;;24;0;1;5
track_0_1751;;15;0;1;4
track_0_1752;;0;0;0;4
track_0_1753;;0;3;1;5
track_0_1754;;15;0;1;4
track_0_1755;;0;0;0;3
track_0_1756;;18;0;0;4
track_0_1757;;0;0;1;3
track_0_1758;;18;0;2;6
track_0_1759;;0;0;0;3
track_0_176;;0;0;1;3
track_0_1760;;0;0;1;4
track_0_1761;;12;0;1;4
track_0_1762;;0;0;1;3
track_0_1763;;0;2;1;4
track_0_1764;;15;0;1;3
track_0_1765;;0;0;1;4
track_0_1766;;24;0;1;4
track_0_1767;;15;0;1;3
track_0_1768;;12;0;1;3
track_0_1769;;5;0;0;2
track_0_177;;78;0;1;5
track_0_1770;;0;0;1;3
track_0_1771;;0;0;1;4
track_0_1772;;0;0;0;3
track_0_1773;;0;0;0;2
track_0_1774;;0;0;1;3
track_0_1775;;4;2;0;3
track_0_1776;;0;0;1;4
track_0_1777;;0;0;1;5
track_0_1778;;0;0;0;2
track_0_1779;;0;1;0;4
track_0_178;;89;0;0;4
track_0_1780;;0;0;0;3
track_0_1781;;0;0;1;4
track_0_1782;;0;3;1;4
track_0_1783;;78;0;1;5
track_0_1784;;0;2;1;5
track_0_1785;;0;0;0;4
