Index; Vehicle length; in trip; in position; in time; in gate; out trip; out position; out time; out gate
0;83780;613758;0;1214;0;613263;0;1231;0
1;83780;612157;0;1180;0;612219;0;3950;0
2;83780;613755;0;1154;0;613260;0;1171;0
3;83780;611154;0;1130;0;614859;0;1145;0
4;42580;641249;1;1123;0;612219;1;3950;0
5;83780;612153;0;1100;0;612257;0;1115;0
6;83780;612152;0;1080;0;612256;0;1095;0
7;83780;612151;0;1060;0;611215;0;1061;0
8;83780;612151;0;1060;0;611215;0;1061;0
9;83780;612150;0;1040;0;612254;0;1055;0
10;42580;612149;1;1020;0;611245;1;1021;0
11;42580;612149;1;1020;0;611245;1;1021;0
12;42580;611146;0;970;0;611251;1;985;0
13;83780;611146;1;970;0;611251;0;985;0
14;42580;611145;0;950;0;611250;1;965;0
15;83780;611145;1;950;0;611250;0;965;0
16;83780;611144;0;930;0;611249;0;945;0
17;83780;612143;0;900;0;612247;0;915;0
18;83780;612142;0;880;0;612246;1;895;0
19;83780;612141;0;860;0;612245;1;875;0
20;42580;612150;1;820;0;611243;1;825;0
21;83780;611137;0;790;0;611242;0;805;0
22;83780;612136;0;760;0;612240;0;775;0
23;83780;612135;0;740;0;612239;0;755;0
24;83780;612134;0;720;0;612238;0;735;0
25;83780;611132;0;690;0;611237;0;705;0
26;83780;611131;0;670;0;611236;0;685;0
27;83780;611130;0;650;0;611235;0;665;0
28;83780;612129;0;620;0;612233;0;635;0
29;83780;612128;0;600;0;612232;0;615;0
30;83780;612127;0;580;0;612231;0;595;0
31;83780;612126;0;560;0;612230;0;575;0
32;42580;611223;1;559;0;611220;0;3960;0
33;83780;611124;0;530;0;611229;0;545;0
34;83780;611123;0;510;0;611228;0;525;0
35;42580;612123;0;500;0;612220;1;501;0
36;42580;612123;0;500;0;612220;1;501;0
37;83780;611121;0;470;0;611226;1;485;0
38;83780;611121;1;470;0;611226;0;485;0
39;83780;612120;0;440;0;612224;1;455;0
40;83780;612120;1;440;0;612224;0;455;0
41;83780;612118;0;400;0;612222;0;415;0
42;83780;611116;0;370;0;611221;0;385;0
43;42580;641247;1;340;0;611219;1;345;0
44;83780;641157;0;340;0;611219;0;345;0
45;83780;612158;0;320;0;611218;0;325;0
46;83780;613100;0;54;0;612218;0;330;0
