Index; Vehicle length; in trip; in position; in time; in gate; out trip; out position; out time; out gate
0;83780;613269;0;1437;0;613502;0;3608;0
1;83780;613268;0;1417;0;613101;0;1428;0
2;83780;613267;0;1397;0;613100;0;1408;0
3;83780;613266;0;1377;0;613171;0;1388;0
4;83780;613265;0;1357;0;613170;0;1368;0
5;83780;613264;0;1337;0;613169;0;1348;0
6;83780;613263;0;1317;0;613168;0;1328;0
7;83780;613262;0;1297;0;613167;0;1308;0
8;83780;613261;0;1277;0;613166;0;1288;0
9;83780;613260;0;1257;0;613165;0;1268;0
10;83780;614859;0;1227;0;613164;0;1248;0
11;83780;613858;0;1217;0;612120;1;3943;0
12;83780;641256;0;1170;0;613161;0;1188;0
13;83780;641255;0;1150;0;613160;0;1168;0
14;83780;641254;0;1130;0;641559;0;1145;0
15;83780;642254;0;1120;0;642120;0;3970;0
16;83780;641252;0;1090;0;641157;0;1105;0
17;83780;642251;0;1060;0;642155;0;1075;0
18;42580;642250;1;1040;0;642122;0;4010;0
19;42580;641249;1;1030;0;612219;1;1037;0
20;42580;641249;1;1030;0;612219;1;1037;0
21;42580;642249;1;1020;0;642125;0;1023;0
22;42580;642249;1;1020;0;642125;0;1023;0
23;83780;641248;1;1010;0;641153;0;1025;0
24;42580;641248;0;1010;0;641123;1;4020;0
25;42580;642248;1;1000;0;641143;1;1003;0
26;42580;642248;1;1000;0;641143;1;1003;0
27;42580;641247;1;990;0;611219;1;997;0
28;42580;641247;1;990;0;611219;1;997;0
29;83780;641246;1;970;0;641151;0;985;0
30;42580;641246;0;970;0;642123;1;4030;0
31;42580;642246;1;960;0;641124;1;963;0
32;42580;642246;1;960;0;641124;1;963;0
33;83780;641244;0;930;0;641149;0;945;0
34;83780;642243;0;900;0;642147;0;915;0
35;42580;611122;0;880;0;641146;0;885;0
36;42580;642247;0;870;0;642145;0;875;0
37;83780;642241;0;860;0;642145;1;875;0
38;42580;641227;0;850;0;642144;0;855;0
39;42580;642228;1;830;0;642143;1;835;0
40;83780;641239;0;830;0;641144;1;845;0
41;42580;642248;1;820;0;641143;1;825;0
42;42580;641228;1;810;0;642142;0;815;0
43;83780;642237;0;780;0;642141;0;795;0
44;83780;642236;0;760;0;642140;0;775;0
45;83780;642235;0;740;0;642139;0;755;0
46;83780;641233;0;710;0;641138;0;725;0
47;83780;641232;0;690;0;641137;0;705;0
48;83780;641231;0;670;0;641136;0;685;0
49;83780;641230;0;650;0;641135;0;665;0
50;83780;641229;0;630;0;641134;0;645;0
51;42580;642229;1;620;0;641142;1;623;0
52;42580;642229;1;620;0;641142;1;623;0
53;42580;641228;1;610;0;642142;0;810;0
54;42580;642228;1;600;0;642143;1;603;0
55;42580;642228;1;600;0;642143;1;603;0
56;83780;641227;1;590;0;641132;0;605;0
57;42580;641227;0;590;0;642144;0;850;0
58;42580;611122;0;580;0;641146;0;880;0
59;42580;641226;0;570;0;642146;0;890;0
60;42580;642226;1;560;0;642124;0;4050;0
61;83780;641224;0;530;0;641129;0;545;0
62;83780;641223;0;510;0;641128;0;525;0
63;83780;641222;0;490;0;641127;0;505;0
64;42580;642249;1;470;0;642125;0;475;0
65;42580;641245;0;460;0;641125;0;465;0
66;83780;642221;0;460;0;642125;1;475;0
67;83780;642220;0;440;0;642124;1;455;0
68;42580;641248;0;420;0;641123;1;425;0
69;42580;642250;1;410;0;642122;0;415;0
70;83780;642253;0;410;0;642122;1;415;0
71;83780;641217;0;390;0;641122;0;405;0
72;83780;641216;0;370;0;641121;0;385;0
73;83780;641215;0;350;0;641120;0;365;0
74;83780;642256;0;340;0;641119;0;345;0
75;83780;642257;0;323;0;612119;1;328;0
76;83780;613859;0;300;0;641117;0;305;0
77;83780;613271;0;37;0;641116;0;280;0
