Index; Vehicle length; in trip; in position; in time; in gate; out trip; out position; out time; out gate
0;83780;642252;0;1082;0;642556;0;1094;0
1;83780;641250;0;1052;0;641155;0;1064;0
2;83780;641249;0;1032;0;641154;0;1044;0
3;42580;642249;1;1025;0;642125;0;4069;0
4;42580;642248;1;1005;0;641143;1;4419;0
5;83780;641247;0;992;0;641152;0;1004;0
6;83780;641245;1;952;0;641150;0;964;0
7;83780;642244;0;922;0;642148;0;934;0
8;83780;641242;0;892;0;641147;0;904;0
9;83780;641240;0;852;0;641145;0;864;0
10;83780;641238;0;812;0;641143;0;824;0
11;83780;641237;0;792;0;641142;0;804;0
12;83780;642234;0;722;0;642138;0;734;0
13;83780;641228;0;612;0;641133;0;624;0
14;42580;642228;1;605;0;642143;1;829;0
15;83780;641225;0;552;0;641130;0;564;0
16;83780;642222;0;482;0;642126;0;494;0
17;83780;641219;0;432;0;641124;0;444;0
18;83780;641218;0;412;0;641123;0;424;0
