Index; Vehicle length; in trip; in position; in time; in gate; out trip; out position; out time; out gate
0;83780;613169;0;1434;0;613602;0;3611;0
1;83780;613168;0;1414;0;613601;0;1431;0
2;83780;613167;0;1394;0;613200;0;1411;0
3;83780;613166;0;1374;0;613271;0;1391;0
4;83780;613165;0;1354;0;613270;0;1371;0
5;83780;613164;0;1334;0;613269;0;1351;0
6;83780;613163;0;1314;0;613268;0;1331;0
7;83780;613162;0;1294;0;613267;0;1311;0
8;83780;613161;0;1274;0;613266;0;1291;0
9;83780;613160;0;1254;0;613265;0;1271;0
10;83780;613759;0;1234;0;613264;0;1251;0
11;83780;613757;0;1194;0;613262;0;1211;0
12;83780;613756;0;1174;0;613261;0;1191;0
13;83780;612156;0;1160;0;611217;0;3900;0
14;83780;612154;0;1120;0;613858;0;1135;0
15;42580;611251;1;1119;0;612218;1;3930;0
16;83780;611152;0;1090;0;611257;0;1105;0
17;83780;611151;0;1070;0;611256;0;1085;0
18;83780;611149;0;1030;0;642118;0;1037;0
19;42580;611148;0;1010;0;612125;0;1017;0
20;42580;612148;1;1000;0;612241;0;1001;0
21;42580;612148;1;1000;0;612241;0;1001;0
22;83780;611147;0;990;0;642117;0;997;0
23;42580;612147;1;980;0;612245;0;981;0
24;42580;612147;1;980;0;612245;0;981;0
25;83780;611143;0;910;0;611248;0;925;0
26;42580;612124;0;890;0;612246;0;895;0
27;42580;612147;1;870;0;612245;0;875;0
28;42580;612149;1;860;0;611245;1;865;0
29;42580;612125;0;850;0;612244;0;855;0
30;83780;611139;0;830;0;611244;0;845;0
31;83780;612138;0;800;0;612242;0;815;0
32;42580;612148;1;790;0;612241;0;795;0
33;83780;611136;0;770;0;611241;0;785;0
34;83780;611135;0;750;0;611240;0;765;0
35;83780;611134;0;730;0;611239;0;745;0
36;83780;611133;0;710;0;611238;0;725;0
37;83780;612132;0;680;0;612236;0;695;0
38;83780;612130;0;640;0;612234;0;655;0
39;83780;611128;0;610;0;611233;0;625;0
40;83780;611127;0;590;0;611232;0;605;0
41;83780;611126;0;570;0;611231;0;585;0
42;83780;611125;0;550;0;611230;0;565;0
43;42580;612125;0;540;0;612244;0;850;0
44;42580;611124;1;530;0;612147;1;537;0
45;42580;612124;0;520;0;612246;0;890;0
46;42580;611123;1;510;0;641144;0;517;0
47;42580;611123;1;510;0;641144;0;517;0
48;42580;611122;0;490;0;641146;0;497;0
49;42580;611122;0;490;0;641146;0;497;0
50;83780;611120;0;450;0;611225;1;465;0
51;83780;611120;1;450;0;611225;0;465;0
52;42580;612119;0;420;0;612223;1;435;0
53;83780;612119;1;420;0;612223;0;435;0
54;42580;611118;0;410;0;611223;1;425;0
55;83780;611118;1;410;0;611223;0;425;0
56;83780;611117;0;390;0;611222;0;405;0
57;42580;611223;1;360;0;611220;0;365;0
58;83780;613101;0;360;0;611220;1;365;0
59;42580;641249;1;350;0;612219;1;355;0
60;83780;612157;0;350;0;612219;0;355;0
61;42580;611251;1;330;0;612218;1;335;0
62;83780;613100;0;330;0;612218;0;335;0
63;83780;612156;0;300;0;611217;0;305;0
64;83780;612759;0;280;0;611216;0;285;0
65;83780;613101;0;74;0;611220;1;360;0
